LandisData 	"Climate Data"
ClimateTable
<<EcoIndex TimeStep Month AvgMinT	AvgMaxT		StdDevT		AvgPpt		StdDevPpt	PAR
eco1	0	1	-8.407163718	3.258619678	1.128972301	18.01621642	9.368830777	0
eco1	0	2	-6.797758645	6.056652814	0.264224975	9.172969235	5.95695305	0
eco1	0	3	-7.606558365	4.52105524	1.598088586	16.7482073	8.471211583	0
eco1	0	4	-4.245396375	9.851435284	0.745686337	7.498306882	3.742087086	0
eco1	0	5	-0.531414834	16.34589207	0.50562398	2.983298179	2.293188305	0
eco1	0	6	3.074504481	20.80898126	0.766422326	1.669491781	1.048443354	0
eco1	0	7	6.794475275	26.48501551	0.54300546	0.32741877	0.208471151	0
eco1	0	8	6.013501201	25.45576129	0.847593066	1.0104451	0.421466156	0
eco1	0	9	2.733241336	21.06718497	0.688156304	2.466955626	3.622622533	0
eco1	0	10	-1.375463132	14.59333858	0.480539503	7.013831866	4.47815939	0
eco1	0	11	-5.553148058	7.190109676	0.960940643	15.7442448	14.63616187	0
eco1	0	12	-8.413169764	3.60310354	0.730298492	29.13304824	22.55115938	0
eco2	0	1	-9.143808255	2.746624218	1.197323539	19.4382373	10.01863708	0
eco2	0	2	-7.423754013	5.651631031	0.294102819	10.30137871	6.678507272	0
eco2	0	3	-8.361769079	4.09915101	1.588003061	18.26100822	9.416063753	0
eco2	0	4	-4.910814335	9.40684012	0.795059571	8.750712846	4.072899397	0
eco2	0	5	-1.039269026	15.95086016	0.499579675	3.609416882	2.58714323	0
eco2	0	6	2.713137669	20.35387961	0.786250324	1.980288639	1.310139603	0
eco2	0	7	6.513143565	25.96596639	0.520849883	0.508378731	0.305094487	0
eco2	0	8	5.635549597	24.90517557	0.854350388	1.067887822	0.44818938	0
eco2	0	9	2.261380659	20.60835971	0.679755186	2.828041151	4.024766482	0
eco2	0	10	-1.95954706	14.10319163	0.474163079	7.447966736	4.780445761	0
eco2	0	11	-6.259758145	6.61577999	0.978544822	17.29629619	15.33411937	0
eco2	0	12	-9.16071177	3.060407661	0.792334276	30.60970079	23.80163881	0
eco3	0	1	-9.672759956	2.446540056	1.214217537	20.38546505	10.33595689	0
eco3	0	2	-7.927550187	5.359917011	0.316521112	10.77066632	6.956877157	0
eco3	0	3	-8.814652693	3.835125911	1.593323768	19.15253446	9.949862915	0
eco3	0	4	-5.353150277	9.110354634	0.806230253	9.133808184	4.052443242	0
eco3	0	5	-1.403811031	15.66641319	0.483996466	3.855823881	2.734322785	0
eco3	0	6	2.387708815	20.03554459	0.776534485	2.142871037	1.462170426	0
eco3	0	7	6.138877329	25.61074639	0.505388967	0.58426147	0.356281248	0
eco3	0	8	5.215657938	24.56363689	0.837404152	1.157474672	0.513481002	0
eco3	0	9	1.860848099	20.30914267	0.66815949	2.904112036	4.055243524	0
eco3	0	10	-2.402983431	13.81788597	0.464917875	7.891349846	5.119384457	0
eco3	0	11	-6.701785895	6.306753506	0.992349967	18.12699135	15.81067481	0
eco3	0	12	-9.701311958	2.802337372	0.827554958	31.82918755	24.78409922	0
eco4	0	1	-9.172517761	2.860759801	1.154453265	19.56172071	9.846643852	0
eco4	0	2	-7.545027497	5.738186142	0.287984602	10.28319442	6.511359932	0
eco4	0	3	-8.374931239	4.117588572	1.577243394	18.18012546	9.164478741	0
eco4	0	4	-4.906868821	9.41612639	0.767392634	8.246719096	3.782037133	0
eco4	0	5	-1.087845797	15.91075056	0.489362706	3.405140293	2.402581982	0
eco4	0	6	2.650597242	20.3193746	0.769965313	1.869337778	1.179779021	0
eco4	0	7	6.340961588	25.98799934	0.522266596	0.347578879	0.216712896	0
eco4	0	8	5.421360575	24.96628212	0.84649458	1.038728225	0.422140726	0
eco4	0	9	2.150411356	20.68415133	0.694051064	2.58676111	3.706952204	0
eco4	0	10	-2.018960439	14.21105798	0.481556403	7.521557965	4.785429839	0
eco4	0	11	-6.183751542	6.754969964	0.993998108	17.34868314	15.48127303	0
eco4	0	12	-9.178590881	3.223233271	0.794507612	31.31977658	24.0916745	0
eco5	0	1	-8.89700697	2.996497263	1.179496716	19.13023706	9.782458146	0
eco5	0	2	-7.240166922	5.815690592	0.300151206	10.04001081	6.425295541	0
eco5	0	3	-8.116338215	4.26294389	1.578107732	17.80123057	9.021600423	0
eco5	0	4	-4.704982189	9.552966969	0.78632431	8.153625145	3.858236633	0
eco5	0	5	-0.862446294	16.07206726	0.493013728	3.345181432	2.368216226	0
eco5	0	6	2.840102891	20.46293445	0.770878494	1.901275436	1.244150779	0
eco5	0	7	6.559138271	26.09881403	0.528656344	0.389138698	0.226928857	0
eco5	0	8	5.711938537	25.07791085	0.839254244	1.036429517	0.425280998	0
eco5	0	9	2.439363803	20.78670302	0.682569333	2.593914316	3.708934646	0
eco5	0	10	-1.769994501	14.30403512	0.468365232	7.471521348	4.771874948	0
eco5	0	11	-5.982289483	6.8453979	0.981250553	16.87249955	15.01892047	0
eco5	0	12	-8.923243669	3.334842854	0.79024647	30.56412338	23.68704104	0
eco1	5	1	-7.892533601	3.756096165	1.106977068	25.08211143	5.411474525	0
eco1	5	2	-6.04478644	5.551769128	0.524547926	20.31918171	10.48715261	0
eco1	5	3	-5.804456346	6.552823313	0.560308618	12.36201325	7.614003376	0
eco1	5	4	-3.881693897	10.24243133	0.550625942	6.998704854	2.556478156	0
eco1	5	5	-0.403373033	15.24777947	0.424804486	4.973152565	3.445168979	0
eco1	5	6	3.057845047	20.70068155	0.339016397	1.110696515	0.683163429	0
eco1	5	7	6.122307979	25.42101649	0.271601296	1.244651012	1.569693063	0
eco1	5	8	5.796953614	25.85755941	0.419975471	0.682398807	0.444911794	0
eco1	5	9	3.469487864	22.96694832	0.391954732	1.534220667	1.810782055	0
eco1	5	10	-1.034798177	16.24167927	1.245190521	4.447609135	5.508103524	0
eco1	5	11	-3.325720468	9.896490901	0.84981281	13.36292646	7.916113822	0
eco1	5	12	-7.109210001	4.920538975	0.239926524	15.09137758	11.7838035	0
eco2	5	1	-8.671766852	3.224561601	1.080464364	26.80338192	5.931459406	0
eco2	5	2	-6.739485894	5.125694518	0.551893768	21.97540905	11.46207514	0
eco2	5	3	-6.473320753	6.18002124	0.509683435	13.85138616	8.271324	0
eco2	5	4	-4.517238384	9.860892407	0.569072176	8.080660625	2.537005811	0
eco2	5	5	-0.870883723	14.88104172	0.446707663	5.822970593	3.92286178	0
eco2	5	6	2.710824004	20.36768895	0.287423747	1.097034556	0.783477278	0
eco2	5	7	5.778678223	24.93863625	0.282869839	1.367011338	1.79895468	0
eco2	5	8	5.298879946	25.2884007	0.396511679	0.708128381	0.414257513	0
eco2	5	9	2.991903765	22.49430888	0.459979214	1.565903332	1.578422377	0
eco2	5	10	-1.568056506	15.78685132	1.235453517	4.921555933	6.148765477	0
